iter	Passed	Remaining
173	901	6871
174	906	6865
175	911	6854
176	915	6844
177	921	6843
178	925	6831
179	929	6819
180	934	6807
181	938	6799
182	943	6787
183	947	6779
184	951	6766
185	957	6764
186	962	6757
187	968	6759
188	974	6762
189	981	6765
190	986	6762
191	992	6759
192	995	6743
193	1000	6737
194	1004	6724
195	1008	6710
196	1012	6695
197	1018	6695
198	1023	6688
199	1026	6675
200	1030	6660
201	1035	6651
202	1039	6642
203	1044	6635
204	1049	6626
205	1053	6616
206	1056	6601
207	1061	6593
208	1065	6584
209	1071	6581
210	1078	6589
211	1084	6586
212	1088	6579
213	1094	6579
214	1099	6571
215	1105	6571
216	1110	6565
217	1114	6556
218	1120	6555
219	1126	6555
220	1133	6558
221	1139	6557
222	1144	6552
223	1149	6545
224	1153	6534
225	1157	6524
226	1163	6524
227	1168	6517
228	1173	6512
229	1179	6512
230	1184	6506
231	1192	6514
232	1198	6517
233	1204	6514
234	1208	6504
235	1214	6502
236	1219	6499
237	1226	6503
238	1233	6506
239	1239	6507
240	1244	6501
241	1249	6496
242	1255	6495
243	1260	6488
244	1265	6480
245	1269	6471
246	1275	6471
247	1281	6468
248	1286	6465
249	1292	6461
250	1297	6454
251	1302	6448
252	1306	6441
253	1311	6433
254	1315	6421
255	1319	6409
256	1323	6399
257	1327	6388
258	1330	6376
259	1335	6367
260	1339	6358
261	1344	6354
262	1349	6347
263	1354	6339
264	1358	6331
265	1364	6331
266	1369	6323
267	1373	6314
268	1378	6307
269	1383	6301
270	1388	6296
271	1393	6289
272	1399	6288
273	1404	6284
274	1410	6282
275	1415	6275
276	1420	6272
277	1425	6267
278	1431	6263
279	1436	6257
280	1441	6251
281	1445	6244
282	1449	6234
283	1453	6225
284	1458	6219
285	1463	6211
286	1468	6207
287	1473	6201
288	1477	6190
289	1481	6180
290	1486	6177
291	1491	6171
292	1496	6166
293	1501	6160
294	1507	6156
295	1512	6151
296	1517	6145
297	1520	6134
298	1524	6123
299	1528	6112
300	1533	6110
301	1538	6103
302	1542	6094
303	1546	6083
304	1551	6079
305	1557	6078
306	1563	6077
307	1568	6071
308	1575	6072
309	1580	6066
310	1585	6060
311	1590	6057
312	1595	6051
313	1600	6046
314	1606	6043
315	1611	6038
316	1616	6033
317	1621	6026
318	1625	6019
319	1631	6016
320	1635	6005
321	1639	5996
322	1643	5988
323	1647	5980
324	1651	5970
325	1655	5962
326	1659	5951
327	1664	5948
328	1669	5941
329	1673	5934
330	1679	5929
331	1683	5922
332	1686	5911
333	1690	5902
334	1695	5898
335	1700	5890
336	1704	5882
337	1709	5876
338	1713	5867
339	1717	5858
340	1721	5850
341	1724	5839
342	1729	5835
343	1735	5833
344	1740	5825
345	1744	5817
346	1750	5818
347	1756	5815
348	1765	5823
349	1771	5820
350	1776	5816
351	1782	5814
352	1788	5812
353	1794	5809
354	1799	5803
355	1804	5797
356	1809	5792
357	1814	5787
358	1820	5786
359	1825	5781
360	1829	5773
361	1834	5767
362	1839	5760
363	1843	5754
364	1849	5749
365	1852	5740
366	1856	5731
367	1859	5720
368	1863	5711
369	1866	5701
370	1870	5692
371	1874	5683
372	1877	5674
373	1881	5664
374	1884	5654
375	1887	5643
376	1891	5633
377	1894	5623
378	1897	5611
379	1900	5600
380	1903	5590
381	1906	5579
382	1909	5568
383	1912	5559
384	1916	5550
385	1919	5541
386	1923	5532
387	1926	5522
388	1930	5512
389	1933	5503
390	1937	5495
391	1941	5486
392	1944	5477
393	1948	5469
394	1952	5460
395	1956	5453
396	1959	5443
397	1963	5435
398	1966	5426
399	1970	5417
400	1973	5408
401	1976	5398
402	1979	5389
403	1983	5380
404	1986	5370
405	1989	5361
406	1993	5353
407	1996	5344
408	2000	5335
409	2003	5326
410	2006	5316
411	2009	5307
412	2012	5297
413	2016	5288
414	2019	5279
415	2022	5270
416	2026	5261
417	2029	5253
418	2032	5243
419	2035	5234
420	2039	5227
421	2042	5218
422	2046	5211
423	2050	5203
424	2053	5194
425	2056	5185
426	2060	5177
427	2063	5168
428	2067	5160
429	2070	5151
430	2073	5143
431	2077	5135
432	2080	5126
433	2083	5118
434	2087	5110
435	2090	5102
436	2094	5093
437	2097	5085
438	2101	5078
439	2106	5073
440	2109	5066
441	2113	5058
442	2117	5051
443	2120	5044
444	2124	5037
445	2128	5030
446	2133	5025
447	2137	5018
448	2141	5012
449	2145	5006
450	2149	5000
451	2153	4993
452	2157	4986
453	2160	4977
454	2164	4971
455	2168	4965
456	2172	4958
457	2176	4951
458	2180	4944
459	2183	4936
460	2187	4929
461	2191	4924
462	2196	4918
463	2199	4911
464	2204	4906
465	2208	4899
466	2212	4893
467	2215	4886
468	2220	4880
469	2224	4874
470	2228	4867
471	2231	4861
472	2235	4854
473	2239	4847
474	2243	4841
475	2247	4834
476	2250	4825
477	2253	4818
478	2256	4809
479	2259	4801
480	2263	4794
481	2267	4788
482	2271	4781
483	2274	4775
484	2278	4769
485	2283	4763
486	2287	4757
487	2290	4750
488	2294	4744
489	2298	4737
490	2302	4732
491	2306	4726
492	2310	4719
493	2314	4712
494	2317	4705
495	2321	4698
496	2325	4692
497	2329	4686
498	2333	4681
499	2337	4674
500	2341	4668
501	2345	4662
502	2348	4655
503	2352	4648
504	2356	4642
505	2360	4636
506	2364	4630
507	2368	4625
508	2372	4618
509	2375	4611
510	2379	4604
511	2382	4598
512	2386	4591
513	2390	4585
514	2393	4578
515	2397	4572
516	2401	4565
517	2404	4559
518	2409	4553
519	2412	4547
520	2416	4541
521	2420	4535
522	2424	4529
523	2428	4523
524	2432	4516
525	2435	4510
526	2439	4503
527	2442	4496
528	2446	4490
529	2449	4483
530	2453	4476
531	2456	4469
532	2459	4462
533	2463	4456
534	2467	4449
535	2470	4442
536	2473	4436
537	2476	4428
538	2480	4422
539	2484	4416
540	2487	4409
541	2490	4402
542	2493	4395
543	2497	4388
544	2500	4382
545	2503	4375
546	2506	4367
547	2509	4360
548	2513	4353
549	2516	4346
550	2519	4339
551	2523	4333
552	2527	4328
553	2531	4323
554	2535	4317
555	2539	4312
556	2543	4306
557	2547	4300
558	2551	4294
559	2554	4288
560	2558	4281
561	2561	4275
562	2564	4268
563	2568	4262
564	2571	4255
565	2575	4249
566	2578	4243
567	2582	4237
568	2586	4231
569	2590	4226
570	2593	4219
571	2596	4212
572	2599	4205
573	2602	4198
574	2606	4192
575	2609	4185
576	2612	4178
577	2616	4173
578	2619	4166
579	2623	4160
580	2626	4154
581	2629	4147
582	2633	4141
583	2636	4135
584	2640	4129
585	2643	4123
586	2647	4117
587	2650	4111
588	2654	4105
589	2658	4099
590	2661	4093
591	2665	4088
592	2669	4083
593	2672	4076
594	2676	4071
595	2679	4064
596	2683	4059
597	2687	4053
598	2690	4046
599	2693	4040
600	2697	4034
601	2700	4028
602	2704	4023
603	2707	4016
604	2711	4011
605	2715	4005
606	2719	4001
607	2724	3997
608	2728	3991
609	2733	3987
610	2737	3983
611	2741	3978
612	2745	3972
613	2750	3968
614	2753	3962
615	2757	3957
616	2762	3953
617	2765	3946
618	2769	3942
619	2773	3936
620	2776	3930
621	2780	3925
622	2785	3920
623	2789	3915
624	2792	3908
625	2796	3903
626	2799	3897
627	2803	3892
628	2806	3886
629	2810	3881
630	2813	3874
631	2816	3868
632	2820	3863
633	2823	3857
634	2827	3851
635	2830	3845
636	2834	3839
637	2838	3835
638	2842	3829
639	2845	3823
640	2849	3818
641	2851	3811
642	2855	3806
643	2859	3800
644	2863	3796
645	2867	3790
646	2870	3784
647	2874	3779
648	2878	3773
649	2881	3767
650	2885	3762
651	2889	3757
652	2892	3751
653	2896	3746
654	2899	3741
655	2904	3736
656	2907	3731
657	2910	3724
658	2915	3721
659	2919	3715
660	2923	3711
661	2927	3705
662	2931	3701
663	2936	3697
664	2940	3692
665	2944	3686
666	2947	3681
667	2952	3676
668	2955	3671
669	2959	3666
670	2964	3662
671	2967	3656
672	2971	3651
673	2975	3646
674	2978	3640
675	2983	3636
676	2986	3630
677	2989	3625
678	2993	3619
679	2997	3614
680	3001	3609
681	3004	3604
682	3008	3598
683	3011	3592
684	3014	3586
685	3017	3580
686	3021	3575
687	3024	3569
688	3028	3564
689	3031	3559
690	3035	3553
691	3038	3548
692	3042	3543
693	3046	3538
694	3050	3533
695	3053	3527
696	3058	3523
697	3064	3520
698	3068	3515
699	3072	3511
700	3076	3506
701	3080	3501
702	3083	3495
703	3087	3490
704	3090	3485
705	3094	3479
706	3097	3474
707	3101	3469
708	3105	3464
709	3108	3458
710	3112	3454
711	3116	3449
712	3120	3444
713	3124	3439
714	3128	3434
715	3132	3429
716	3135	3424
717	3139	3419
718	3142	3413
719	3146	3408
720	3149	3402
721	3152	3397
722	3156	3392
723	3159	3386
724	3163	3381
725	3166	3375
726	3168	3369
727	3172	3364
728	3175	3358
729	3178	3353
730	3181	3347
731	3184	3341
732	3187	3335
733	3190	3330
734	3193	3324
735	3196	3318
736	3199	3312
737	3202	3306
738	3205	3301
739	3208	3295
740	3211	3289
741	3215	3284
742	3218	3279
743	3222	3274
744	3225	3269
745	3229	3263
746	3233	3259
747	3236	3253
748	3239	3248
749	3243	3243
750	3246	3238
751	3250	3232
752	3253	3227
753	3256	3222
754	3260	3217
755	3263	3212
756	3267	3206
757	3271	3202
758	3274	3196
759	3277	3191
760	3281	3186
761	3285	3181
762	3289	3177
763	3293	3172
764	3297	3168
765	3301	3163
766	3304	3158
767	3309	3154
768	3313	3150
769	3317	3145
770	3322	3141
771	3326	3137
772	3330	3132
773	3334	3127
774	3338	3122
775	3341	3117
776	3345	3112
777	3348	3107
778	3352	3102
779	3355	3097
780	3358	3092
781	3361	3086
782	3365	3081
783	3368	3076
784	3371	3070
785	3374	3065
786	3377	3060
787	3380	3054
788	3383	3049
789	3387	3044
790	3390	3039
791	3394	3034
792	3396	3028
793	3399	3023
794	3403	3017
795	3406	3012
796	3410	3008
797	3413	3002
798	3417	2997
799	3420	2992
800	3423	2987
801	3426	2982
802	3430	2977
803	3433	2971
804	3436	2966
805	3440	2962
806	3443	2957
807	3446	2951
808	3450	2946
809	3453	2941
810	3456	2936
811	3460	2931
812	3463	2926
813	3467	2922
814	3470	2917
815	3474	2912
816	3477	2907
817	3481	2902
818	3484	2897
819	3487	2891
820	3490	2886
821	3494	2881
822	3497	2876
823	3500	2871
824	3504	2867
825	3507	2862
826	3512	2858
827	3516	2853
828	3520	2849
829	3524	2845
830	3528	2840
831	3532	2836
832	3535	2830
833	3538	2825
834	3541	2820
835	3544	2815
836	3547	2810
837	3551	2805
838	3554	2800
839	3558	2796
840	3562	2791
841	3566	2786
842	3570	2782
843	3573	2777
844	3576	2772
845	3580	2767
846	3584	2763
847	3587	2758
848	3590	2752
849	3593	2747
850	3596	2742
851	3600	2738
852	3603	2733
853	3606	2728
854	3609	2722
855	3612	2718
856	3615	2712
857	3618	2707
858	3622	2703
859	3626	2698
860	3629	2693
861	3632	2688
862	3635	2683
863	3639	2679
864	3642	2674
865	3646	2669
866	3649	2664
867	3652	2659
868	3656	2654
869	3659	2649
870	3663	2645
871	3666	2640
872	3670	2635
873	3674	2631
874	3677	2626
875	3680	2621
876	3684	2617
877	3687	2612
878	3690	2607
879	3693	2602
880	3697	2597
881	3701	2593
882	3705	2589
883	3709	2584
884	3713	2580
885	3716	2575
886	3720	2571
887	3723	2566
888	3727	2561
889	3731	2557
890	3734	2552
891	3738	2547
892	3741	2543
893	3745	2538
894	3748	2534
895	3752	2529
896	3755	2524
897	3758	2519
898	3761	2514
899	3765	2510
900	3768	2505
901	3771	2500
902	3774	2495
903	3777	2490
904	3780	2485
905	3783	2480
906	3786	2475
907	3789	2470
908	3792	2465
909	3795	2460
910	3798	2455
911	3801	2451
912	3805	2446
913	3808	2441
914	3811	2436
915	3814	2432
916	3817	2427
917	3820	2422
918	3824	2417
919	3827	2413
920	3830	2408
921	3834	2403
922	3837	2399
923	3841	2394
924	3844	2389
925	3847	2385
926	3850	2380
927	3854	2375
928	3857	2371
929	3860	2366
930	3863	2361
931	3867	2356
932	3870	2352
933	3873	2347
934	3876	2342
935	3879	2337
936	3882	2332
937	3885	2327
938	3888	2323
939	3892	2318
940	3896	2314
941	3899	2309
942	3903	2305
943	3906	2301
944	3910	2296
945	3914	2292
946	3917	2287
947	3921	2283
948	3924	2278
949	3927	2273
950	3930	2268
951	3933	2264
952	3936	2259
953	3939	2254
954	3941	2249
955	3945	2244
956	3948	2240
957	3951	2235
958	3954	2231
959	3958	2226
960	3961	2221
961	3964	2217
962	3967	2212
963	3971	2207
964	3974	2203
965	3977	2198
966	3980	2193
967	3982	2189
968	3985	2184
969	3988	2179
970	3991	2174
971	3995	2170
972	3998	2165
973	4002	2161
974	4005	2156
975	4009	2152
976	4012	2148
977	4015	2143
978	4018	2138
979	4022	2134
980	4024	2129
981	4028	2124
982	4031	2120
983	4034	2115
984	4037	2111
985	4040	2106
986	4044	2102
987	4047	2097
988	4051	2093
989	4055	2089
990	4058	2084
991	4061	2079
992	4065	2075
993	4068	2071
994	4072	2066
995	4075	2062
996	4078	2057
997	4081	2052
998	4084	2048
999	4088	2044
1000	4092	2039
1001	4096	2035
1002	4099	2031
1003	4104	2027
1004	4107	2023
1005	4112	2019
1006	4116	2015
1007	4120	2010
1008	4123	2006
1009	4126	2002
1010	4131	1998
1011	4134	1993
1012	4137	1989
1013	4141	1985
1014	4145	1980
1015	4148	1976
1016	4151	1971
1017	4154	1967
1018	4157	1962
1019	4161	1958
1020	4164	1953
1021	4167	1949
1022	4171	1945
1023	4175	1940
1024	4178	1936
1025	4181	1931
1026	4184	1927
1027	4187	1922
1028	4191	1918
1029	4194	1913
1030	4197	1909
1031	4201	1905
1032	4204	1900
1033	4208	1896
1034	4211	1892
1035	4214	1887
1036	4217	1883
1037	4221	1878
1038	4224	1874
1039	4228	1870
1040	4232	1866
1041	4235	1861
1042	4239	1857
1043	4242	1853
1044	4245	1848
1045	4248	1844
1046	4251	1839
1047	4254	1834
1048	4257	1830
1049	4261	1826
1050	4263	1821
1051	4267	1817
1052	4270	1812
1053	4273	1808
1054	4276	1803
1055	4279	1799
1056	4283	1795
1057	4286	1790
1058	4294	1788
1059	4298	1784
1060	4302	1780
1061	4306	1776
1062	4309	1771
1063	4313	1767
1064	4317	1763
1065	4321	1759
1066	4325	1755
1067	4329	1751
1068	4332	1746
1069	4337	1742
1070	4340	1738
1071	4344	1734
1072	4347	1730
1073	4350	1725
1074	4353	1721
1075	4356	1716
1076	4360	1712
1077	4366	1709
1078	4372	1705
1079	4379	1703
1080	4383	1699
1081	4387	1695
1082	4392	1691
1083	4397	1687
1084	4402	1683
1085	4406	1679
1086	4412	1676
1087	4417	1672
1088	4423	1669
1089	4427	1665
1090	4432	1661
1091	4437	1657
1092	4442	1654
1093	4446	1650
1094	4454	1647
1095	4460	1644
1096	4466	1640
1097	4470	1636
1098	4475	1632
1099	4480	1629
1100	4486	1625
1101	4491	1622
1102	4497	1618
1103	4502	1614
1104	4506	1610
1105	4510	1606
1106	4514	1602
1107	4519	1598
1108	4524	1595
1109	4529	1591
1110	4533	1587
1111	4539	1584
1112	4543	1579
1113	4548	1576
1114	4553	1572
1115	4558	1568
1116	4564	1565
1117	4569	1561
1118	4574	1557
1119	4579	1553
1120	4583	1549
1121	4589	1546
1122	4593	1542
1123	4598	1538
1124	4603	1534
1125	4608	1530
1126	4613	1526
1127	4620	1523
1128	4625	1520
1129	4629	1516
1130	4634	1512
1131	4640	1508
1132	4644	1504
1133	4648	1500
1134	4654	1496
1135	4659	1493
1136	4664	1489
1137	4668	1485
1138	4672	1481
1139	4679	1477
1140	4683	1473
1141	4686	1469
1142	4691	1465
1143	4696	1461
1144	4700	1457
1145	4705	1453
1146	4709	1449
1147	4713	1445
1148	4722	1442
1149	4728	1439
1150	4732	1434
1151	4738	1431
1152	4742	1427
1153	4746	1423
1154	4753	1419
1155	4758	1415
1156	4761	1411
1157	4766	1407
1158	4770	1403
1159	4773	1399
1160	4778	1395
1161	4782	1391
1162	4786	1387
1163	4790	1382
1164	4794	1378
1165	4797	1374
1166	4801	1370
1167	4805	1365
1168	4808	1361
1169	4812	1357
1170	4816	1353
1171	4819	1348
1172	4823	1344
1173	4827	1340
1174	4831	1336
1175	4834	1331
1176	4838	1327
1177	4842	1323
1178	4845	1319
1179	4848	1314
1180	4851	1310
1181	4855	1306
1182	4858	1301
1183	4862	1297
1184	4865	1293
1185	4868	1289
1186	4872	1284
1187	4876	1280
1188	4880	1276
1189	4885	1272
1190	4889	1268
1191	4893	1264
1192	4897	1260
1193	4903	1256
1194	4907	1252
1195	4910	1248
1196	4914	1243
1197	4917	1239
1198	4920	1235
1199	4924	1231
1200	4927	1226
1201	4931	1222
1202	4935	1218
1203	4938	1214
1204	4942	1209
1205	4946	1205
1206	4950	1201
1207	4953	1197
1208	4956	1193
1209	4960	1188
1210	4964	1184
1211	4967	1180
1212	4971	1176
1213	4975	1172
1214	4978	1167
1215	4982	1163
1216	4985	1159
1217	4988	1155
1218	4991	1150
1219	4994	1146
1220	4998	1142
1221	5002	1137
1222	5005	1133
1223	5009	1129
1224	5013	1125
1225	5017	1121
1226	5021	1117
1227	5024	1112
1228	5027	1108
1229	5032	1104
1230	5035	1100
1231	5038	1096
1232	5041	1091
1233	5045	1087
1234	5048	1083
1235	5050	1078
1236	5053	1074
1237	5058	1070
1238	5061	1066
1239	5065	1062
1240	5068	1057
1241	5072	1053
1242	5075	1049
1243	5079	1045
1244	5084	1041
1245	5089	1037
1246	5092	1033
1247	5096	1029
1248	5099	1024
1249	5102	1020
1250	5106	1016
1251	5109	1012
1252	5112	1007
1253	5115	1003
1254	5119	999
1255	5122	995
1256	5125	990
1257	5128	986
1258	5131	982
1259	5135	978
1260	5138	973
1261	5141	969
1262	5144	965
1263	5147	961
1264	5150	956
1265	5153	952
1266	5157	948
1267	5159	944
1268	5163	939
1269	5166	935
1270	5170	931
1271	5173	927
1272	5177	923
1273	5180	918
1274	5184	914
1275	5187	910
1276	5190	906
1277	5193	902
1278	5196	897
1279	5199	893
1280	5202	889
1281	5206	885
1282	5209	881
1283	5213	876
1284	5216	872
1285	5219	868
1286	5222	864
1287	5225	860
1288	5228	855
1289	5231	851
1290	5234	847
1291	5237	843
1292	5240	838
1293	5243	834
1294	5246	830
1295	5250	826
1296	5253	822
1297	5257	818
1298	5260	813
1299	5263	809
1300	5267	805
1301	5271	801
1302	5275	797
1303	5279	793
1304	5282	789
1305	5286	785
1306	5289	781
1307	5292	776
1308	5296	772
1309	5299	768
1310	5302	764
1311	5306	760
1312	5309	756
1313	5312	751
1314	5315	747
1315	5319	743
1316	5322	739
1317	5325	735
1318	5328	731
1319	5331	727
1320	5334	722
1321	5338	718
1322	5341	714
1323	5344	710
1324	5348	706
1325	5351	702
1326	5354	698
1327	5357	693
1328	5360	689
1329	5363	685
1330	5367	681
1331	5370	677
1332	5374	673
1333	5377	669
1334	5380	664
1335	5383	660
1336	5387	656
1337	5390	652
1338	5394	648
1339	5397	644
1340	5400	640
1341	5403	636
1342	5406	631
1343	5409	627
1344	5413	623
1345	5417	619
1346	5420	615
1347	5424	611
1348	5427	607
1349	5431	603
1350	5434	599
1351	5437	595
1352	5440	591
1353	5443	586
1354	5446	582
1355	5450	578
1356	5453	574
1357	5456	570
1358	5459	566
1359	5463	562
1360	5466	558
1361	5470	554
1362	5474	550
1363	5477	546
1364	5481	542
1365	5484	538
1366	5488	533
1367	5492	529
1368	5495	525
1369	5498	521
1370	5501	517
1371	5505	513
1372	5508	509
1373	5511	505
1374	5514	501
1375	5518	497
1376	5522	493
1377	5525	489
1378	5528	485
1379	5532	481
1380	5535	477
1381	5539	472
1382	5542	468
1383	5546	464
1384	5549	460
1385	5553	456
1386	5555	452
1387	5559	448
1388	5562	444
1389	5565	440
1390	5568	436
1391	5571	432
1392	5574	428
1393	5577	424
1394	5580	420
1395	5583	415
1396	5586	411
1397	5588	407
1398	5591	403
1399	5594	399
1400	5598	395
1401	5601	391
1402	5606	387
1403	5609	383
1404	5613	379
1405	5616	375
1406	5620	371
1407	5624	367
1408	5627	363
1409	5630	359
1410	5634	355
1411	5637	351
1412	5641	347
1413	5644	343
1414	5647	339
1415	5650	335
1416	5654	331
1417	5658	327
1418	5661	323
1419	5671	319
1420	5675	315
1421	5679	311
1422	5683	307
1423	5687	303
1424	5693	299
1425	5697	295
1426	5701	291
1427	5705	287
1428	5709	283
1429	5712	279
1430	5716	275
1431	5719	271
1432	5723	267
1433	5726	263
1434	5729	259
1435	5732	255
1436	5735	251
1437	5738	247
1438	5741	243
1439	5744	239
1440	5747	235
1441	5750	231
1442	5754	227
1443	5757	223
1444	5761	219
1445	5764	215
1446	5767	211
1447	5770	207
1448	5773	203
1449	5776	199
1450	5780	195
1451	5783	191
1452	5786	187
1453	5790	183
1454	5793	179
1455	5796	175
1456	5799	171
1457	5802	167
1458	5805	163
1459	5808	159
1460	5810	155
1461	5813	151
1462	5817	147
1463	5820	143
1464	5824	139
1465	5828	135
1466	5831	131
1467	5835	127
1468	5839	123
1469	5842	119
1470	5845	115
1471	5848	111
1472	5852	107
1473	5859	103
1474	5864	99
1475	5868	95
1476	5873	91
1477	5878	87
1478	5882	83
1479	5887	79
1480	5891	75
1481	5896	71
1482	5900	67
1483	5904	63
1484	5908	59
1485	5912	55
1486	5915	51
1487	5919	47
1488	5923	43
1489	5927	39
1490	5930	35
1491	5933	31
1492	5937	27
1493	5940	23
1494	5943	19
1495	5946	15
1496	5950	11
1497	5953	7
1498	5957	3
1499	5960	0
